city,coordinates,latitude,longitude
(Alaminos),16°09′23″N 119°58′49″E,16.15639,119.98028
(Angeles),15°08′24″N 120°35′16″E,15.14,120.58778
(Antipolo),14°35′13″N 121°10′33″E,14.58694,121.17583
(Bacolod),10°40′34″N 122°57′05″E,10.67611,122.95139
(Bacoor),14°27′34″N 120°56′24″E,14.45944,120.94
(Bago),10°32′24″N 122°50′09″E,10.54,122.83583
(Baguio),16°24′43″N 120°35′36″E,16.41194,120.59333
(Bais),9°35′29″N 123°07′17″E,9.59139,123.12139
(Balanga),14°40′46″N 120°32′27″E,14.67944,120.54083
(Batac),18°03′24″N 120°33′50″E,18.05667,120.56389
(Batangas City),13°45′22″N 121°03′28″E,13.75611,121.05778
(Bayawan),9°22′00″N 122°48′20″E,9.36667,122.80556
(Baybay),10°40′38″N 124°47′49″E,10.67722,124.79694
(Bayugan),8°42′51″N 125°44′53″E,8.71417,125.74806
(Biñan),14°20′19″N 121°05′01″E,14.33861,121.08361
(Bislig),8°12′42″N 126°19′00″E,8.21167,126.31667
(Bogo),11°03′11″N 124°00′40″E,11.05306,124.01111
(Borongan),11°36′31″N 125°26′07″E,11.60861,125.43528
(Butuan),8°57′12″N 125°31′44″E,8.95333,125.52889
(Cabadbaran),9°07′17″N 125°31′59″E,9.12139,125.53306
(Cabanatuan),15°29′21″N 120°58′09″E,15.48917,120.96917
(Cabuyao),14°16′46″N 121°07′25″E,14.27944,121.12361
(Cadiz),10°56′46″N 123°17′49″E,10.94611,123.29694
(Cagayan de Oro),8°28′35″N 124°38′29″E,8.47639,124.64139
(Calamba),14°12′11″N 121°09′44″E,14.20306,121.16222
(Calapan),13°24′25″N 121°10′40″E,13.40694,121.17778
(Calbayog),12°04′01″N 124°35′41″E,12.06694,124.59472
(Caloocan),14°39′26″N 120°59′03″E,14.65722,120.98417
(Candon),17°11′29″N 120°26′52″E,17.19139,120.44778
(Canlaon),10°23′11″N 123°13′28″E,10.38639,123.22444
(Carcar),10°06′16″N 123°38′51″E,10.10444,123.6475
(Catbalogan),11°46′31″N 124°52′58″E,11.77528,124.88278
(Cauayan),16°56′03″N 121°46′00″E,16.93417,121.76667
(Cavite City),14°28′55″N 120°54′32″E,14.48194,120.90889
(Cebu City),10°18′32″N 123°53′35″E,10.30889,123.89306
(Cotabato City),7°11′49″N 124°14′06″E,7.19694,124.235
(Dagupan),16°02′33″N 120°20′15″E,16.0425,120.3375
(Danao),10°31′14″N 124°01′37″E,10.52056,124.02694
(Dapitan),8°39′22″N 123°25′39″E,8.65611,123.4275
(Dasmariñas),14°19′37″N 120°56′13″E,14.32694,120.93694
(Davao City),7°03′50″N 125°36′30″E,7.06389,125.60833
(Digos),6°44′39″N 125°21′23″E,6.74417,125.35639
(Dipolog),8°34′58″N 123°20′25″E,8.58278,123.34028
(Dumaguete),9°18′19″N 123°18′29″E,9.30528,123.30806
(El Salvador),8°31′58″N 124°34′11″E,8.53278,124.56972
(Escalante),10°50′28″N 123°29′57″E,10.84111,123.49917
(Gapan),15°17′52″N 120°57′24″E,15.29778,120.95667
(General Santos),6°06′50″N 125°10′18″E,6.11389,125.17167
(General Trias),14°23′10″N 120°52′50″E,14.38611,120.88056
(Gingoog),8°49′27″N 125°06′15″E,8.82417,125.10417
(Guihulngan),10°07′12″N 123°16′22″E,10.12,123.27278
(Himamaylan),10°05′32″N 122°52′21″E,10.09222,122.8725
