,title,id,ontologyId,resultType,address,position,access,distance,categories,chains,references,contacts,openingHours,foodTypes,lat,lng
0,Gemini Auto Supply & Motorcycle Parts,here:pds:place:608wdv7f-54a6ffb2847541c68924d21f10001ba5,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Gemini Auto Supply & Motorcycle Parts, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Magsaysay', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.15403, 'lng': 119.98168}","[{'lat': 16.15407, 'lng': 119.9817}]",302,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,16.15403,119.98168
1,Petron,here:pds:place:608jx7ps-1392146e13260203a90a88200f92243b,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Magsaysay', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.15349, 'lng': 119.9826}","[{'lat': 16.15349, 'lng': 119.9826}]",407,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6000-0061', 'name': 'Convenience Store'}, {'id': '700-7850-0000', 'name': 'Car Repair - Service'}, {'id': '700-7850-0122', 'name': 'Car Repair'}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1083863198'}, {'supplier': {'id': 'core'}, 'id': '1083863199'}, {'supplier': {'id': 'core'}, 'id': '1083863200'}]","[{'phone': [{'value': '+637585527072'}], 'www': [{'value': 'http://petron-alaminos-ph.placestars.com', 'categories': [{'id': '700-7600-0116'}, {'id': '700-7850-0122'}]}]}]",,,16.15349,119.9826
2,Rystar,here:pds:place:608wdv7f-61b8f02dcb5d4a49ace5859d1354b902,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Rystar, San Jose Dr, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Magsaysay', 'street': 'San Jose Dr', 'postalCode': '2404'}","{'lat': 16.16312, 'lng': 119.98344}","[{'lat': 16.16311, 'lng': 119.98346}]",821,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1204180821'}]",,,,16.16312,119.98344
3,Caltex,here:pds:place:608wdv7f-cc48fcd8d9cf4e35a879053ffc31b16b,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Poblacion', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.15028, 'lng': 119.98589}","[{'lat': 16.1503, 'lng': 119.98592}]",906,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6000-0061', 'name': 'Convenience Store'}, {'id': '700-7850-0121', 'name': 'Car Wash - Detailing'}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1194183597'}, {'supplier': {'id': 'core'}, 'id': '1194621241'}, {'supplier': {'id': 'core'}, 'id': '1196687365'}]","[{'www': [{'value': 'https://www.caltex.com/ph/en.html', 'categories': [{'id': '700-7600-0116'}]}]}]",,,16.15028,119.98589
4,TOTAL,here:pds:place:608wdv7f-8254a33a8b7345529481351a0fac7d42,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'TOTAL, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Poblacion', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.15019, 'lng': 119.98591}","[{'lat': 16.15023, 'lng': 119.98597}]",915,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '35'}],"[{'supplier': {'id': 'core'}, 'id': '1204180762'}]",,,,16.15019,119.98591
5,TOTAL,here:pds:place:608jx7ps-60ba16b355ff04c756926a521293554a,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'TOTAL, Infanta-Alaminos Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Poblacion', 'street': 'Infanta-Alaminos Rd', 'postalCode': '2404'}","{'lat': 16.14829, 'lng': 119.9772}","[{'lat': 16.14828, 'lng': 119.97722}]",959,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '35'}],"[{'supplier': {'id': 'core'}, 'id': '1096873638'}]",,,,16.14829,119.9772
6,Total Elite Alaminos L,here:pds:place:608wdv7f-024dc468dbdd47a4a4300c16c4b54156,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Total Elite Alaminos L, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Poblacion', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.14774, 'lng': 119.97699}","[{'lat': 16.14774, 'lng': 119.97699}]",1024,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6000-0061', 'name': 'Convenience Store'}]",,,,,,16.14774,119.97699
7,Seaoil,here:pds:place:608wdv7f-b76e0ce5c7eb437a9372dad482e54df6,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Seaoil, Pangasinan-Zambales Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Magsaysay', 'street': 'Pangasinan-Zambales Rd', 'postalCode': '2404'}","{'lat': 16.14928, 'lng': 119.98667}","[{'lat': 16.14928, 'lng': 119.98667}]",1044,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '8673'}],"[{'supplier': {'id': 'core'}, 'id': '1196687057'}]",,,,16.14928,119.98667
8,Caltex,here:pds:place:608wdv7f-31325f44b0944fa9a543968e51cbb968,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Alaminos-Bolinao Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Pogo', 'street': 'Alaminos-Bolinao Rd', 'postalCode': '2404'}","{'lat': 16.16154, 'lng': 119.97171}","[{'lat': 16.16145, 'lng': 119.97167}]",1080,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1211238478'}]",,"[{'text': ['Mon-Thu, Sat, Sun: 06:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T060000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}]}]",,16.16154,119.97171
9,Landerhugh Fuel Service,here:pds:place:608jx7ps-e5371d4ed4e50c0b31721bbd99af25bc,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Landerhugh Fuel Service, Lingayen-Alaminos Rd, 2404 Alaminos, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Ilocos Region', 'county': 'Pangasinan', 'city': 'Alaminos', 'district': 'Magsaysay', 'street': 'Lingayen-Alaminos Rd', 'postalCode': '2404'}","{'lat': 16.14897, 'lng': 119.98686}","[{'lat': 16.14899, 'lng': 119.98688}]",1084,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1083862251'}]",,,,16.14897,119.98686
